ID,age,gender,pastvote_EURef,Vote2015R,social_grade,govregion,W8,starttime,endtime,disposition,Q1,Q2
40,35,2,1,7,1,8,.287938070724086,7/20/2016,7/20/2016,1,1,1
85,33,2,1,6,1,8,.465451329990062,7/20/2016,7/20/2016,1,1,1
93,63,1,2,6,2,8,.690493548069674,7/20/2016,7/20/2016,1,5,1
171,47,2,2,6,2,8,.612452381047136,7/20/2016,7/20/2016,1,5,1
227,64,1,1,7,1,8,.326861581851317,7/20/2016,7/20/2016,1,4,1
246,49,2,3,7,2,8,.575999582552553,7/20/2016,7/20/2016,1,3,3
266,37,2,3,7,2,8,1.18500057102879,7/20/2016,7/20/2016,1,3,3
302,42,2,1,6,1,8,.490423072144788,7/20/2016,7/20/2016,1,1,1
311,65,1,1,6,1,8,.45334321770273,7/20/2016,7/20/2016,1,1,1
312,53,1,1,6,1,8,.491058085385843,7/20/2016,7/20/2016,1,1,1
315,45,1,1,6,1,8,.597937787910923,7/20/2016,7/20/2016,1,2,1
333,68,2,1,7,1,8,.360505873138582,7/20/2016,7/20/2016,1,2,2
362,64,2,1,6,2,8,.407804936031693,7/20/2016,7/20/2016,1,2,1
375,79,1,1,6,1,8,.430259536320129,7/20/2016,7/20/2016,1,5,1
381,60,2,1,7,1,8,.612521725776437,7/20/2016,7/20/2016,1,1,1
389,51,2,2,7,1,8,.375707640811461,7/20/2016,7/20/2016,1,3,1
407,52,2,2,6,2,8,.709561711145641,7/20/2016,7/20/2016,1,5,1
449,35,2,3,7,2,8,.872024678782021,7/20/2016,7/20/2016,1,3,3
450,45,2,2,6,1,8,.874526927365728,7/20/2016,7/20/2016,1,3,2
470,76,2,1,6,2,8,.474401249077569,7/20/2016,7/20/2016,1,3,1
522,35,1,2,1,1,8,.611016808143128,7/20/2016,7/20/2016,1,4,1
555,62,1,1,6,1,8,.491058085385843,7/20/2016,7/20/2016,1,3,1
571,45,1,2,6,2,8,.802666419038223,7/20/2016,7/20/2016,1,5,1
597,36,2,1,6,2,8,.445593127042169,7/20/2016,7/20/2016,1,2,1
633,60,2,2,6,2,8,.736026194814938,7/20/2016,7/20/2016,1,1,1
706,45,2,2,4,2,8,.590431104969428,7/20/2016,7/20/2016,1,5,1
